ID варианта товара,Артикул,Название товара,Цена продажи,Остаток
213850726,Демо-товар 6,6001,8900.0,8900.0
213850727,Демо-товар 6,6002,8900.0,8900.0
213850728,Демо-товар 6,6003,8900.0,8900.0
213850729,Демо-товар 6,6004,9900.0,9900.0
213850730,Демо-товар 6,6005,9900.0,9900.0
213850731,Демо-товар 6,6006,9900.0,9900.0
213850732,Демо-товар 6,6007,10900.0,10900.0
213850733,Демо-товар 6,6008,10900.0,10900.0
213850734,Демо-товар 6,6009,10900.0,10900.0
213853039,Кофе в зернах Serrano Selecto 500 гр,125458083,735.0,735.0
213853188,Кофе молотый Serrano Selecto 125 гр,125458164,190.0,190.0
213853362,Кофе в зернах Turquino 500 гр,125458261,725.0,725.0
242908547,Кофе молотый Turquino арабика 250 гр,125458385,365.0,365.0
213853941,Кофе в зернах Cubita 500 гр,125458696,655.0,655.0
213854856,Кофе в зернах Cubita 1 кг,125459244,1240.0,1240.0
213855046,"Кофе в зернах Excelso Kopi Luwak, 100 гр",125459359,2500.0,2500.0
214385254,Кофе Me Trang Arabica зерновой 500 гр,125808247,650.0,650.0
214386097,Кофе Me Trang Robusta зерновой 500 гр,125809034,648.0,648.0
214388859,Кофе Me Trang Arabica&Robusta зерновой 500 гр,125811066,638.0,638.0
214389726,Кофе Me Trang Ocean Blue молотый 250 гр,125811526,375.0,375.0
214390225,Кофе Me Trang Weasel Chon Kopi Luwak молотый 250 гр,125812019,465.0,465.0
214449784,Кофе Me Trang Arabica молотый 250 гр,125853963,358.0,358.0
214451661,Кофе Me Trang Weasel Chon Kopi Luwak зерновой 500 гр,125855271,897.0,897.0
214451877,Кофе Me Trang Weasel Chon Kopi Luwak Cao Cap молотый 500 гр,125855443,1580.0,1580.0
214456323,Кофе Me Trang Ocean Blue зерновой 500 гр,125858786,640.0,640.0
216326371,Кофе в зернах Dallmayr Crema d’Oro 500 г,127031503,564.0,564.0
216326855,Кофе в зернах Dallmayr Prodomo 500 г,127031895,490.0,490.0
216379863,Кофе молотый Segafredo INTERMEZZO 250 гр,127074693,270.0,270.0
216380268,Кофе молотый Segafredo BUONO ESPRESSO 250 гр,127075055,190.0,190.0
216382273,Кофе в зернах Segafredo INTERMEZZO 500 гр,127076829,400.0,400.0
216382889,Кофе в зернах Segafredo Selezione Organica 500 гр,127077356,835.0,835.0
216384764,Кофе в зернах Segafredo Espresso Casa 500 гр,127078234,655.0,655.0
216385479,Кофе в зернах Segafredo INTERMEZZO 1000 гр,127078859,940.0,940.0
216386918,Кофе в зернах Segafredo Espresso Casa 1000 гр,127080189,1110.0,1110.0
216517257,Кофе в зернах Paulig Arabica 1000 г,127133589,589.0,589.0
216517624,Кофе в зернах Paulig Presidentti Original 250 г,127133707,204.0,204.0
216518309,Кофе в зернах Paulig Classic 250 г,127134038,155.0,155.0
216518563,Кофе молотый Paulig Classic 250 г,127134114,148.0,148.0
217500836,Шоколад Ritter Sport Extra Nut темный цельный лесной орех,127752624,98.0,98.0
217501032,Шоколад Ritter Sport Extra Nut молочный цельный миндаль,127752779,98.0,98.0
217501336,Шоколад Ritter Sport Extra Nut молочный цельный лесной орех,127753019,98.0,98.0
217503270,Шоколад Ritter Sport горький с элитным какао из Эквадора (73% какао),127754688,98.0,98.0
217509385,Шоколад Lindt Excellence горький 99% какао,127760257,172.0,172.0
217510751,Шоколад Lindt Excellence горький 70% какао,127761605,122.0,122.0
217511794,Шоколад Lindt Excellence темный с апельсином и миндалем,127762570,122.0,122.0
217512157,Шоколад Lindt Excellence горький 85% какао,127762824,122.0,122.0
217512442,Шоколад Lindt Excellence темный с мятой,127762965,122.0,122.0
217513064,Мармелад Haribo Золотые Мишки 140 г,127763423,94.0,94.0
217513665,Мармелад Haribo Wummis 140 г,127763888,94.0,94.0
217513738,Мармелад Haribo Веселая Кола 140 г,127763959,94.0,94.0
217514522,Мармелад Бон Пари Забавный медвежонок и Ко 75 г,127764667,53.0,53.0
217514822,Набор конфет Toffifee 250 г,127764890,305.0,305.0
217515026,Набор конфет Toffifee 125 г,127765041,148.0,148.0
217515572,Шоколад Karl Fazer Travel London молочный с соленым печеньем с какао и кусочками карамели,127765406,148.0,148.0
217515876,Шоколад Karl Fazer Travel Rio De Janeiro молочный со вкусом мяты и драже из молочного шоколада,127765644,148.0,148.0
217516094,Шоколад Karl Fazer Travel New York молочный со вкусом кофе и кусочками шоколадного кекса,127765774,148.0,148.0
217516403,Маршмеллоу Trolls со вкусом клубники,127766012,43.0,43.0
217906240,Кофе молотый Segafredo EMOZIONI,127992100,250.0,250.0
217977645,Кофе в зернах ILLY средней обжарки 250 г,128036633,680.0,680.0
218142296,"Батончик KitKat молочный шоколад с хрустящей вафлей, 29 г, мультипак",128166276,114.0,114.0
218175484,Кофе молотый ILLY Espresso средняя обжарка 250 г,128194044,699.0,699.0
218176947,Кофе в зернах ILLY сильной обжарки 250 г,128195330,690.0,690.0
218178027,Кофе молотый ILLY Espresso темная обжарка 250 г,128196290,680.0,680.0
218178209,Кофе в зернах ILLY Бразилия 250 мл,128196457,684.0,684.0
218243095,"Кофе в зернах Lavazza Espresso Barista Perfetto (Gran Aroma), 1 кг",128243711,950.0,950.0
218245440,"Кофе в зернах Lavazza Crema e Aroma, 1 кг",128245371,870.0,870.0
218248288,"Кофе в зернах Lavazza Qualita Rossa, 1 кг",128247463,915.0,915.0
219057504,Кофе в зернах Paulig Arabica 1000 г,128744003,540.0,540.0
219057594,Кофе в зернах ILLY Эфиопия 250 мл,128744020,684.0,684.0
219116782,Кофе в зернах ILLY Espresso Decaffeinato без кофеина 250 г,128786283,689.0,689.0
219386404,Шоколад Россия - Щедрая душа! молочный,128944077,50.0,50.0
219386646,Шоколад Россия - Щедрая душа! молочный и белый с начинкой с кокосовой стружкой и вафлей,128944122,50.0,50.0
219387032,Шоколад Россия - Щедрая душа! молочный с карамелью и арахисом,128944356,50.0,50.0
220312560,"Чай черный Ahmad tea Classic, 100 г",ВОQ129403458,85.0,85.0
220314109,"Чай черный Ahmad tea English breakfast, 100 г",ВОQ129404667,105.0,105.0
220315282,"Чай черный Ahmad tea English breakfast, 200 г",129405711,189.0,189.0
