fid,Артикул,Штрих-код,Название товара,Краткое описание,Полное описание,Цена продажи,Остаток,Изображения,Параметр: Брэнд,Параметр: Артикул Производителя,Подкатегория 1,Подкатегория 2,Подкатегория 3,Подкатегория 4,Вес,Параметр: Гарантия,Параметр: Wi-Fi,Параметр: Bluetooth,Параметр: Количество SIM-карт,Параметр: Материал,Параметр: Мощность
820,29411,6941059626015,Мобильный телефон Xiaomi Redmi 7A 32GB Gem Blue,"Мобильный телефон, Xiaomi, Redmi 7A 32GB, 2GB,5.45"",Android MIUI,Qualcomm Snapdragon 439, ядер 8,Qualcomm Adreno 505,13 Мп,5 Мп,(PPI)295,Разрешение экрана1440 x 720,Nano SIM x2 + Micro SD, (mAh) 4000,(Gem Blue) Синий","<html><h2><center>Мобильный телефон Xiaomi Redmi 7A </h2></center>
<h3>8-ядерный процессор Qualcomm</h3>
<p>Ударная производительность и плавная работа. 8-ядерный процессор Qualcomm Snapdragon быстрее своих предшественников на 26%. С ним Вы можете сидеть в соцсетях, смотреть фильмы, играть в игры и ни в чем себе не отказывать, а он выдаст максимум производительности для любой задачи. </p>
<h3>Аккумулятор на 4000 мА·ч</h3>
<p>До 19 дней без подзарядки. В миниатюрном корпусе Redmi 7A умещается аккумулятор ёмкостью 4000 мА·ч. В сочетании с умной оптимизацией и системой энергосбережения MIUI он поможет раз и навсегда забыть о постоянном поиске розетки для подзарядки.</p>
<h3>Карманный караоке</h3>
<p>Специально для любителей музыки и своего голоса в Redmi 7A был включен особый алгоритм для мониторинга голоса. Он позволяет в режиме реального времени слушать собственный голос, чтобы сделать его ещё лучше, как у настоящих артистов.</p>
<h3>Быстрая и безопасная разблокировка</h3>
<p>Достаточно просто взглянуть на смартфон, чтобы его разблокировать. Смартфон быстро анализирует 4096 особенностей лица, чтобы дать доступ только владельцу.</p>
<h3>Все любимые сериалы в одном месте</h3>
<p> Слот 2+1 позволяет одновременно установить две SIM-карты и одну карту памяти объемом до 256 Гб. Больше не надо мучаться выбором, когда можно поставить все сразу и наслаждаться доступным пространством. </p>
<h3>Можно использовать одной рукой</h3>
<p>Redmi 7A оснащен широким HD-дисплеем с диагональю 5.45"" и соотношением сторон 18:9. Он не только выдает качественную картинку, но и позволяет без усилий использовать смартфон одной рукой. Матовое покрытие корпуса отличается гладкостью, а сам корпус имеет скругленные грани и углы. Он удобно лежит в руке, не создавая дискомфорта или напряжения.</p>
<h3>Камера 13 Мп с быстрой фокусировкой</h3>
<p>Великолепные фотографии. Основная камера разрешением 13 Мп поддерживает технологию быстрой фокусировки PDAF. Красивый пейзаж или неугомонный пёсик - она запечатлеет любой момент в его истинной красоте. А фронтальная камера с умными фильтрами поможет сделать уникальный портрет. </p>
<h3>Голосовой помощник Сяо Ай</h3>
<p>Подобно настоящему персональному ассистенту, голосовой помощник Сяо Ай поможет спланировать поездку, узнать погоду, управлять умной бытовой техникой и сделать жизнь чуточку проще.</p>
<h3>Собственный “зонтик” для смартфона</h3>
<p>Весь корпус Redmi 7A имеет особое гидрофобное покрытие, защищающее его от брызг. Даже если на смартфон случайно попадет вода, она просто соберется в капельки и скатится с корпуса, как с листа лотоса. Кроме воды, телефон также устойчив к поту, маслу, напиткам и другим жидкостям.</p>
<h3>Дисплей с сертификацией защиты зрения TÜV</h3>
<p>Дисплей Redmi 7A прошел профессиональную сертификацию защиты зрения, он эффективно держит вредное синее излучение на безопасном уровне, установленном международными стандартами. Длительное использование такого дисплея не наносит вреда глазам, позволяя сохранить четкий и ясный взгляд на мир.</p>
<h3>Качество, на которое можно положиться</h3>
<p>Для Redmi качество - это жизнь. Redmi 7A испытывается по тем же строгим стандартам, что и флагманские смартфоны. Самые жесткие испытания на деформацию, надежность и количество циклов подключения-отключения к USB-порту показали нормальный срок службы смартфона в 5,5 лет. Redmi - это качество, на которое можно положиться.</p>









 













</html>",41250.0,2,"https://img.al-style.kz/29411_1.jpg,https://img.al-style.kz/29411_2.jpg,https://img.al-style.kz/29411_3.jpg",Xiaomi,Redmi 7A 32GB Gem Blue,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.39, 1 год," 80211 b/g/n, 24 ГГц, Wi-Fi Direct", 42, 2,,
823,30550,6941059635406,Мобильный телефон Xiaomi Redmi 8A 32GB Ocean Blue,"Мобильный телефон, Xiaomi, Redmi 8A 32GB, 2GB, 6.22"",Android MIUI, Qualcomm Snapdragon 439, Qualcomm Adreno 505, Камера 12 Мп, 8 Мп, 1520 x 720, Bluetooth 4.2, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Ocean Blue) Синий","<html><h2><center>Мобильный телефон Xiaomi Redmi 8A 32GB </h2></center>

<h3>Основная 12 Мп камера</h3>
<p>В смартфоне Xiaomi Redmi 8A 12-мегапиксельная основная камера с алгоритмом AI. В камере установлен датчик Sony IMX363 f/1,8. В серии Redmi A производитель представил миру флагманские камеры в доступных смартфонах. Основная камера Xiaomi Redmi 8A обеспечивает кристально чистое изображение на каждом фото.</p>

<h3>Мягкие переливы с эффектом теней.</h3>
<p>Узкие рамки и незаметные элементы корпуса. 
Большой дисплей диагональю 6,22 дюйма и стильный каплевидный вырез для фронтальной камеры позволили 90% поверхности отдать под рабочее пространство.</p>


<h3>Невероятная производительность!</h3>
<p>Аккумулятор на 5000 мАч обеспечивает длительную автономную работу смартфона. Быстрая зарядка мощностью 18 Вт позволяет полностью зарядить батарею всего за 2 часа! Всего 2 часа для восполнения энергии.</p>


<h3>Сверхлинейный динамик 0.82CC</h3>
<p>Мощные динамики помогут вам поделиться хорошим настроением и музыкой с окружающими. В смартфоне встроена акустическая камера 0.82CC для более громкого и чистого звука.</p>

<h3>Тончайший слой гидрофобного покрытия</h3>
<p>Задняя панель Xiaomi Redmi 8A выполнена с узорами в виде волн. Такое стилистическое решение дарит смартфону невероятно красивый переливающийся вид, а также снижает количество оставляемых отпечатков на корпусе </p>
<p>Защита от влаги P21.</p>


</html>",47300.0,1,"https://img.al-style.kz/30550_1.jpg,https://img.al-style.kz/30550_2.jpg,https://img.al-style.kz/30550_3.jpg",Xiaomi,M1908C3KG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.531, 1 год," 80211 b/g/n 2,4 ГГц", 42, Nano-SIM x2 + Micro SD (2 +1),,
824,30958,6941059637455,Мобильный телефон Xiaomi Redmi 8 32GB Onyx Black,"Мобильный телефон, Xiaomi, Redmi 8 32GB, 3GB, 6.22"", Android MIUI, Qualcomm Snapdragon 439, Qualcomm Adreno 505, Камера 12 Мп, 8 Мп, 1520 x 720, Bluetooth 4.2, 5000 мАч, Черный (Onyx Black)","<html><h2><center>Мобильный телефон Xiaomi Redmi 8 </h2></center>
<h3><center>3 дня на одной зарядке!</h3></center>
<p>Забудьте о поиске розеток</p>
<p>За счет энергоемкого аккумулятора на 5000 мАч Redmi 8 без труда сохраняет полную работоспособность в течение 3 дней. Больше не нужно переживать, что смартфон разрядится в самый неподходящий момент!</p>
<h3><center>Оптимизированная система энергосбережения MIUI</h3></center>
<p>Глубокая оптимизация для длительного времени работы. Больше недели в режиме ожидания! </p>
<li>Разговоры -28 часов</li>
<li>Навигация -16.5 часов</li>  
<li>Музыка -180.5 часов</li>
<li>Видео -17 часов</li>
<h3><center>Быстрая зарядка мощностью 18 Вт</h3></center>
<p>Всего 2.2 часа до полного аккумулятора. Смартфон поддерживает технологию быстрой зарядки мощностью 18 Вт. Чуть больше чем за 2 часа аккумулятор устройства будет полностью заряжен и готов к новым свершениям!</p>
<p>Порт Type-C удобное подключение любой стороной. Корпус из 3D-стекла и дисплей диагональю 6,22"" с каплевидным вырезом. </p>
<h3><center>Корпус из трехмерного стекла</center></h3>
<p>Превосходный дизайн - отличительная черта смартфонов Redmi, главная цель которых - ни в чем не уступать флагманам. Тыльная поверхность защищена особым стеклом, способствующим смешению цветов и созданию великолепных переливов.Экран с технологией защиты зрения. Безопасный уровень синего излучения, подтвержденный немецким сертификатом TÜV.</p>
<h3><center>Большой динамик с мощным усилителем</h3></center>
<p>Вся мощность Bluetooth-колонки прямо в кармане. Мощный динамик Redmi 8 не уступает в качестве воспроизведения звука переносным портативным колонкам. Больше не нужно носить с собой дополнительные устройства для прослушивания музыки в компании!</p>
<h3><center>Громкий разговорный динамик</center></h3>
<p>Четко слышно даже в оживленной среде. Разговорный динамик высокого качества обеспечивает отличное шумоподовление во время проведения разговора. Оставайтесь на связи с близкими в любой ситуации!</p>
<h3><center>Двойная камера разрешением 12 Мп</h3></center>
<p>Основная камера смартфона прекрасно справиться с портретами, пейзажами и даже ночными съемками.</p>
<h3><center>Умная фронтальная камера</h3></center>
<p>Передает красоту в каждом снимке. Умное распознавание лиц AI. </p>
<h3><center>8-ядерный Qualcomm Snapdragon</h3></center>
<p>Потянет самые требовательные сетевые игры. Qualcomm Snapdragon 439 с максимальной частотой процессора 1.95 ГГц обеспечивает достойную работу Redmi 8 при запуске ""тяжелых"" игр и приложений.</p>
<p>Гидрофобное покрытие всего корпуса. Corning Gorilla Glass - пятого поколения</p>


</html>































































",58850.0,3,"https://img.al-style.kz/30958_1.jpg,https://img.al-style.kz/30958_2.jpg,https://img.al-style.kz/30958_3.jpg",Xiaomi,M1908C3IG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.546, 1 год," 80211 b/g/n 2,4 ГГц", 50, Nano-SIM x2 + Micro SD (2 +1),,
825,30959,6941059637684,Мобильный телефон Xiaomi Redmi 8 32GB Sapphire Blue,"Мобильный телефон, Xiaomi, Redmi 8 32GB, 3GB, 6.22"", Android MIUI, Qualcomm Snapdragon 439, Qualcomm Adreno 505, Камера 12 Мп, 8 Мп, 1520 x 720, Bluetooth 4.2, 5000 мАч, Синий (Sapphire Blue)","<html><h2><center>Мобильный телефон Xiaomi Redmi 8 </h2></center>
<h3><center>3 дня на одной зарядке!</h3></center>
<p>Забудьте о поиске розеток</p>
<p>За счет энергоемкого аккумулятора на 5000 мАч Redmi 8 без труда сохраняет полную работоспособность в течение 3 дней. Больше не нужно переживать, что смартфон разрядится в самый неподходящий момент!</p>
<h3><center>Оптимизированная система энергосбережения MIUI</h3></center>
<p>Глубокая оптимизация для длительного времени работы. Больше недели в режиме ожидания! </p>
<li>Разговоры -28 часов</li>
<li>Навигация -16.5 часов</li>  
<li>Музыка -180.5 часов</li>
<li>Видео -17 часов</li>
<h3><center>Быстрая зарядка мощностью 18 Вт</h3></center>
<p>Всего 2.2 часа до полного аккумулятора. Смартфон поддерживает технологию быстрой зарядки мощностью 18 Вт. Чуть больше чем за 2 часа аккумулятор устройства будет полностью заряжен и готов к новым свершениям!</p>
<p>Порт Type-C удобное подключение любой стороной. Корпус из 3D-стекла и дисплей диагональю 6,22"" с каплевидным вырезом. </p>
<h3><center>Корпус из трехмерного стекла</center></h3>
<p>Превосходный дизайн - отличительная черта смартфонов Redmi, главная цель которых - ни в чем не уступать флагманам. Тыльная поверхность защищена особым стеклом, способствующим смешению цветов и созданию великолепных переливов.Экран с технологией защиты зрения. Безопасный уровень синего излучения, подтвержденный немецким сертификатом TÜV.</p>
<h3><center>Большой динамик с мощным усилителем</h3></center>
<p>Вся мощность Bluetooth-колонки прямо в кармане. Мощный динамик Redmi 8 не уступает в качестве воспроизведения звука переносным портативным колонкам. Больше не нужно носить с собой дополнительные устройства для прослушивания музыки в компании!</p>
<h3><center>Громкий разговорный динамик</center></h3>
<p>Четко слышно даже в оживленной среде. Разговорный динамик высокого качества обеспечивает отличное шумоподовление во время проведения разговора. Оставайтесь на связи с близкими в любой ситуации!</p>
<h3><center>Двойная камера разрешением 12 Мп</h3></center>
<p>Основная камера смартфона прекрасно справиться с портретами, пейзажами и даже ночными съемками.</p>
<h3><center>Умная фронтальная камера</h3></center>
<p>Передает красоту в каждом снимке. Умное распознавание лиц AI. </p>
<h3><center>8-ядерный Qualcomm Snapdragon</h3></center>
<p>Потянет самые требовательные сетевые игры. Qualcomm Snapdragon 439 с максимальной частотой процессора 1.95 ГГц обеспечивает достойную работу Redmi 8 при запуске ""тяжелых"" игр и приложений.</p>
<p>Гидрофобное покрытие всего корпуса. Corning Gorilla Glass - пятого поколения</p>


</html>































































",58850.0,5,"https://img.al-style.kz/30959_1.jpg,https://img.al-style.kz/30959_2.jpg,https://img.al-style.kz/30959_3.jpg",Xiaomi,M1908C3IG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.546, 1 год," 80211 b/g/n 2,4 ГГц", 50, Nano-SIM x2 + Micro SD (2 +1),,
827,30635,6941059637424,Мобильный телефон Xiaomi Redmi 8 64GB Onyx Black,"Мобильный телефон, Xiaomi, Redmi 8 64GB, 4GB, 6.22"", Android MIUI, Qualcomm Snapdragon 439, Qualcomm Adreno 505, Камера 12 Мп, 8 Мп, 1520 x 720, Bluetooth 4.2, 5000 мАч, (Onyx Black) Черный","<html><h2><center>Мобильный телефон Xiaomi Redmi 8 64GB </h2></center>


<h3>8-ядерный процессор Qualcomm</h3>
<p>Производительность гаджета обеспечит процессор Snapdragon 439 в тандеме с GPU Adreno 505. Объём оперативной памяти составит 4 ГБ..</p>


<h3>Основная 12 Мп камера</h3>
<p>Redmi 8 обладает двойной основной камерой и селфи-камерой (8 Мп), которая займет свое место в каплевидном вырезе сверху лицевой панели. В смартфоне Xiaomi Redmi 8 основная камера на  12 и 2 Мп.</p>

<h3>Мягкие переливы с эффектом теней.</h3>
<p>Узкие рамки и незаметные элементы корпуса. 
Большой дисплей диагональю 6,22 дюйма и стильный каплевидный вырез для фронтальной камеры позволили 90% поверхности отдать под рабочее пространство. Разрешение дисплея 1520х720. </p>


<h3>Невероятная производительность!</h3>
<p>Аккумулятор на 5000 мАч обеспечивает длительную автономную работу смартфона. Быстрая зарядка мощностью 18 Вт позволяет полностью зарядить батарею всего за 2 часа! Всего 2 часа для восполнения энергии.</p>




</html>",61270.0,1,"https://img.al-style.kz/30635_1.jpg,https://img.al-style.kz/30635_2.jpg,https://img.al-style.kz/30635_3.jpg",Xiaomi,M1908C3IG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.578, 1 год," 80211 b/g/n 2,4 ГГц", 50, Nano-SIM x2 + Micro SD (2 +1),,
836,30961,6941059635598,Мобильный телефон Xiaomi Redmi Note 8 128GB Space Black,"Мобильный телефон, Xiaomi, Redmi Note 8 4GB 128GB, 6.3"", аккумулятор 4000 мАч, 2340 х 1080, Bluetooth 4.2, Камера 48+8+2+2Мп, Snapdragon 665, Qualcomm Adreno 610, Gorilla Glass 5, Черный (Space Black)","<html><h2><center>Мобильный телефон Xiaomi Redmi Note 8  </h2></center>
<h3>Доступный смартфон с 4 камерами</h3>
<p>4 Камеры с разрешением 48 Мп. 
Делайте не просто сверхчеткие фотографии, но ещё и детальные портреты, широкоугольные снимки и макросъемка. Камера нового поколения позволит проявить себя в любом направлении!</p>

<h3>Больше деталей, шире пейзаж</h3>
<p>Широкоугольный объектив 120° с защитой от искажения запечатлеет всю красоту воспоминаний.</p>

<h3>Мягкие переливы с эффектом теней и стекло 2.5D</h3>
<p>Узкие рамки и незаметные элементы корпуса
Корпус новинки изготовлен из градиентного стекла 2.5D, которое устойчиво к повреждениям и эффектно выглядит. Большой дисплей диагональю 6,3 дюйма и уменьшенная капелька для фронтальной камеры позволили 90% поверхности отдать под рабочее пространство.</p>


<h3>Невероятная производительность!</h3>


<p>Аккумулятор на 4000 мАч обеспечивает длительную автономную работу смартфона. Быстрая зарядка мощностью 18 Вт позволяет полностью зарядить батарею всего за 2 часа!</p>

<h3>Восьмиядерный процессор Qualcomm Snapdragon 665</h3>

<p>Мощный 8-ядерный процессор. Частота до 2.0 Ггц</p>
<p>Движок AIE третьего поколения</p>


<h3>Дисплей диагональю 6.3” с разрешением FHD+ и защитой зрения</h3>
<p>Эффективность дисплея с низким уровнем синего излучения подтверждена сертификацией Rheinland TÜV. Защита о зрении!</p>

<h3>Сверхлинейный динамик 1217</h3>
<p>Отличная передача звука. Мощный разговорный динамик 0810. Smart PA</p>

<h3>Тончайший слой гидрофобного покрытия</h3>
<p>Стекло Corning Gorilla Glass пятого поколения с обеих сторон.</p>
<p>Защита от случайных брызг.</p>


</html>",88000.0,50,"https://img.al-style.kz/30961_1.jpg,https://img.al-style.kz/30961_2.jpg,https://img.al-style.kz/30961_3.jpg",Xiaomi,M1908C3JG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.52, 1 год," 80211 a/b/g/n/ac, 24/5 ГГц, Wi-Fi Direct, Wi-Fi Display", 42, 2,,
841,32023,6941059635048,Мобильный телефон Xiaomi Redmi Note 8T 32GB Starscape Blue,"Мобильный телефон, Xiaomi, Redmi Note 8T 3GB 32GB, Qualcomm Snapdragon 665,2.0 ГГц,2340х1080,48Мп+8Мп+2Мп+2Мп, Синий (Starscape Blue)","<html><h2><center>Мобильный телефон Xiaomi Redmi Note 8T </h2></center>
<h3><center>Новая версия смартфона с поддержкой NFC</h3></center>
<h3>Мягкие переливы с эффектом теней и стекло 2.5D</h3>
<p>Узкие рамки и незаметные элементы корпуса. Корпус новинки изготовлен из градиентного стекла 2.5D, которое устойчиво к повреждениям и эффектно выглядит. Большой дисплей диагональю 6,3 дюйма и уменьшенная капелька для фронтальной камеры позволили 90% поверхности отдать под рабочее пространство. </p>
<h3><center>Большой экран</h3></center>
<h3><center>Улучшенная камера</h3></center>
<p>4 камеры на 48 Мп. Делайте не просто сверхчеткие фотографии, но ещё и детальные портреты, широкоугольные снимки и макросъемку. Камера нового поколения позволит проявить себя в любом направлении! Широкоугольный объектив 120° с защитой от искажения запечатлеет всю красоту воспоминаний.</p>
<li>Широкоугольный объективный 120°, видит в 2.2 раза больше деталей</li>
<li>Алгоритмы исправления изображений, убирают искажения по краям</li>
<li>Умное распознавание, подбирает оптимальный режим</li>
<h3>Невероятная производительность!</h3>
<p>Аккумулятор на 4000 мАч обеспечивает длительную автономную работу смартфона. Быстрая зарядка мощностью 18 Вт позволяет полностью зарядить батарею всего за 2 часа!</p>
<h3><center>Восьмиядерный процессор Qualcomm Snapdragon 655 Превосходная производительность в играх</h3></center>
<p>Мощный 8-ядерный процессор, частота до 2.0 Ггц</p>
<p>Движок AIE третьего поколения, искусственный интелект еще умнее</p>
<h3>Дисплей диагональю 6.3” с разрешением FHD+ и защитой зрения</h3>
<p>Эффективность дисплея с низким уровнем синего излучения подтверждена сертификацией Rheinland TÜV.</p>
<h3>Сверхлинейный динамик 1217</h3>
<p>Отличная передача звука!</p>
<li>Потрясающе сочные басы</li>
<li>Мощный разговорный динамик 0810</li>
<li>Smart PA</li>
<p>Много-функциональный модуль NFC сделает из смартфона и проездной, и кошелек </p>











































</html>",69850.0,3,"https://img.al-style.kz/32023_1.jpg,https://img.al-style.kz/32023_2.jpg,https://img.al-style.kz/32023_3.jpg",Xiaomi,M1908C3XG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.52, 1 год,, 50, 2,,
842,31528,6941059635024,Мобильный телефон Xiaomi Redmi Note 8T 64GB Moonshadow Grey,"Мобильный телефон, Xiaomi, Redmi Note 8T 4GB 64GB,Qualcomm Snapdragon 665,2.0 ГГц,2340х1080,48Мп+8Мп+2Мп+2Мп,Серый (Moonshadow Grey)","<html><h2><center>Мобильный телефон Xiaomi Redmi Note 8T </h2></center>
<h3><center>Новая версия смартфона с поддержкой NFC</h3></center>
<h3>Мягкие переливы с эффектом теней и стекло 2.5D</h3>
<p>Узкие рамки и незаметные элементы корпуса. Корпус новинки изготовлен из градиентного стекла 2.5D, которое устойчиво к повреждениям и эффектно выглядит. Большой дисплей диагональю 6,3 дюйма и уменьшенная капелька для фронтальной камеры позволили 90% поверхности отдать под рабочее пространство. </p>
<h3><center>Большой экран</h3></center>
<h3><center>Улучшенная камера</h3></center>
<p>4 камеры на 48 Мп. Делайте не просто сверхчеткие фотографии, но ещё и детальные портреты, широкоугольные снимки и макросъемку. Камера нового поколения позволит проявить себя в любом направлении! Широкоугольный объектив 120° с защитой от искажения запечатлеет всю красоту воспоминаний.</p>
<li>Широкоугольный объективный 120°, видит в 2.2 раза больше деталей</li>
<li>Алгоритмы исправления изображений, убирают искажения по краям</li>
<li>Умное распознавание, подбирает оптимальный режим</li>
<h3>Невероятная производительность!</h3>
<p>Аккумулятор на 4000 мАч обеспечивает длительную автономную работу смартфона. Быстрая зарядка мощностью 18 Вт позволяет полностью зарядить батарею всего за 2 часа!</p>
<h3><center>Восьмиядерный процессор Qualcomm Snapdragon 655 Превосходная производительность в играх</h3></center>
<p>Мощный 8-ядерный процессор, частота до 2.0 Ггц</p>
<p>Движок AIE третьего поколения, искусственный интелект еще умнее</p>
<h3>Дисплей диагональю 6.3” с разрешением FHD+ и защитой зрения</h3>
<p>Эффективность дисплея с низким уровнем синего излучения подтверждена сертификацией Rheinland TÜV.</p>
<h3>Сверхлинейный динамик 1217</h3>
<p>Отличная передача звука!</p>
<li>Потрясающе сочные басы</li>
<li>Мощный разговорный динамик 0810</li>
<li>Smart PA</li>
<p>Много-функциональный модуль NFC сделает из смартфона и проездной, и кошелек </p>











































</html>",75900.0,4,"https://img.al-style.kz/31528_1.jpg,https://img.al-style.kz/31528_2.jpg,https://img.al-style.kz/31528_3.jpg",Xiaomi,M1908C3XG,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.52, 1 год,, 50, 2,,
882,33224,6941059640486,Мобильный телефон Xiaomi Redmi Note 9S 128GB Interstellar Grey,"Мобильный телефон, Xiaomi, Redmi Note 9S 6GB 128GB, 6.67"" FHD+DotDisply, Аккумулятор 5020 мАч, 2400х1080, Bluetooth 5.0, 48MPx+8MPx+5MPx+2MPx/16MPx, Snapdragon 720G, Gorilla Glass 5, Fast Charge 18W, (Interstellar Grey) Серый","<html><h2><center>Мобильный телефон Xiaomi Redmi Note 9S 128GB </h2></center>
<h3>Выдающаяся производительность</h3>
<p>Мощный высокопроизводительный процессор Snapdragon 720G в сочетании с видеопроцессором Adreno A618 и 6 Гб оперативной памяти обеспечивают плавную и быструю работу всех систем и приложений. Используйте смартфон в режиме многозадачности, играйте в любые современные игры, смотрите потоковое видео в высоком разрешении, редактируйте фото - Redmi Note 9S вас не подведет и легко справится с любой задачей.</p>

<h3>Потрясающие фото</h3>
<p>Система из 4 основных камер позволяет получать превосходные фотографии, где каждое событие выглядит ярким и атмосферным. Используйте основную камеру 48 Мп для съемки при любом уровне освещенности, ультраширокий объектив 8 Мп с углом обзора 119 градусов, чтобы уместить в кадре больше деталей, макрокамеру 5 Мп для совершения макросъемки и сенсор глубины 2 Мп для получения профессиональных портретов с размытым фоном. Встроенная в дисплей селфи-камера 16 Мп с AL алгоритмами и портретным режимом сделает любое фото особенным.</p>

<h3>Кинематографический экран для ярких впечатлений</h3>
<p>Дисплей 6.67’’ с соотношением сторон 20:9 позволяет наслаждаться просмотром видео в высоком FHD+ разрешении с превосходной детализацией и точной цветопередачей. Встроенная в экран незаметная фронтальная камера и практически полное отсутствие рамок обеспечивают больше пространства для работы и отдыха.</p>


<h3>Много часов игр и просмотра видео</h3>


<p>Благодаря встроенному аккумулятору емкостью 5020 мАч вы сможете невероятно долго пользоваться смартфоном без необходимости подзарядки. Вам обеспечено до 14 часов игр или до 210 часов воспроизведения музыки на одном заряде батареи. Нужно подзарядиться? Быстрая зарядка мощностью 18 Вт пополнит заряд за самое короткое время, чтобы вы могли и дальше пользоваться Redmi Note 9S без ограничений.</p>

<h3>Еще больше возможностей</h3>

<p>Redmi Note 9S имеет два полноценных слота под Sim карты и еще один слот для карт MicroSD объемом до 512 Гб. Это даст возможность комбинировать выгодные предложения разных операторов и хранить огромное количество информации с мгновенным доступом прямо в смартфоне. Специальное нанопокрытие P2i защищает устройство от брызг и капель дождя. Удобный дактилоскопический датчик с боковым расположением обеспечивает надежную защиту личных данных.</p>


</html>",104060.0,50,"https://img.al-style.kz/33224_1.jpg,https://img.al-style.kz/33224_2.jpg,https://img.al-style.kz/33224_3.jpg",Xiaomi,M2003J6A1G,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.623, 1 год," 80211 a/b/g/n/ac, 24/5 ГГц, Wi-Fi Direct, Wi-Fi Display", 50, 2,,
883,33225,6941059640479,Мобильный телефон Xiaomi Redmi Note 9S 128GB Aurora Blue,"Мобильный телефон, Xiaomi, Redmi Note 9S 6GB 128GB, 6.67"" FHD+DotDisply, Аккумулятор 5020 мАч, 2400х1080, Bluetooth 5.0, 48MPx+8MPx+5MPx+2MPx/16MPx, Snapdragon 720G, Gorilla Glass 5, Fast Charge 18W, (Aurora Blue) Синий","<html><h2><center>Мобильный телефон Xiaomi Redmi Note 9S 128GB </h2></center>
<h3>Выдающаяся производительность</h3>
<p>Мощный высокопроизводительный процессор Snapdragon 720G в сочетании с видеопроцессором Adreno A618 и 6 Гб оперативной памяти обеспечивают плавную и быструю работу всех систем и приложений. Используйте смартфон в режиме многозадачности, играйте в любые современные игры, смотрите потоковое видео в высоком разрешении, редактируйте фото - Redmi Note 9S вас не подведет и легко справится с любой задачей.</p>

<h3>Потрясающие фото</h3>
<p>Система из 4 основных камер позволяет получать превосходные фотографии, где каждое событие выглядит ярким и атмосферным. Используйте основную камеру 48 Мп для съемки при любом уровне освещенности, ультраширокий объектив 8 Мп с углом обзора 119 градусов, чтобы уместить в кадре больше деталей, макрокамеру 5 Мп для совершения макросъемки и сенсор глубины 2 Мп для получения профессиональных портретов с размытым фоном. Встроенная в дисплей селфи-камера 16 Мп с AL алгоритмами и портретным режимом сделает любое фото особенным.</p>

<h3>Кинематографический экран для ярких впечатлений</h3>
<p>Дисплей 6.67’’ с соотношением сторон 20:9 позволяет наслаждаться просмотром видео в высоком FHD+ разрешении с превосходной детализацией и точной цветопередачей. Встроенная в экран незаметная фронтальная камера и практически полное отсутствие рамок обеспечивают больше пространства для работы и отдыха.</p>


<h3>Много часов игр и просмотра видео</h3>


<p>Благодаря встроенному аккумулятору емкостью 5020 мАч вы сможете невероятно долго пользоваться смартфоном без необходимости подзарядки. Вам обеспечено до 14 часов игр или до 210 часов воспроизведения музыки на одном заряде батареи. Нужно подзарядиться? Быстрая зарядка мощностью 18 Вт пополнит заряд за самое короткое время, чтобы вы могли и дальше пользоваться Redmi Note 9S без ограничений.</p>

<h3>Еще больше возможностей</h3>

<p>Redmi Note 9S имеет два полноценных слота под Sim карты и еще один слот для карт MicroSD объемом до 512 Гб. Это даст возможность комбинировать выгодные предложения разных операторов и хранить огромное количество информации с мгновенным доступом прямо в смартфоне. Специальное нанопокрытие P2i защищает устройство от брызг и капель дождя. Удобный дактилоскопический датчик с боковым расположением обеспечивает надежную защиту личных данных.</p>


</html>",104060.0,50,"https://img.al-style.kz/33225_1.jpg,https://img.al-style.kz/33225_2.jpg,https://img.al-style.kz/33225_3.jpg",Xiaomi,M2003J6A1G,Мобильные телефоны и аксессуары,Мобильные телефоны,"","",0.623, 1 год," 80211 a/b/g/n/ac, 24/5 ГГц, Wi-Fi Direct, Wi-Fi Display", 50, 2,,
